name,category,address,neighborhood,gu,latitude,longitude,rating,signature_menu,hours,phone,img,naver_url
어니언 성수점,카페/베이커리,서울특별시 성동구 성수동2가 277-135,성수동,성동구,37.54447,127.05579,4.6,"팡도르, 소금빵, 반찬빵",10:00-21:00,02-462-3317,https://images.unsplash.com/photo-1571877227200-a0d98ea607e9?w=400&q=80,https://map.naver.com/v5/search/%EC%96%B4%EB%8B%88%EC%96%B8%20%EC%84%B1%EC%88%98%EC%A0%90%20%EC%84%B1%EB%8F%99%EA%B5%AC
프릳츠 성수점,카페/베이커리,서울특별시 성동구 서울숲길 43,성수동1가,성동구,37.54492,127.04434,4.6,"핸드드립커피, 크루아상, 식빵",07:00-21:00,02-464-7078,https://images.unsplash.com/photo-1571115177098-24ec42ed204d?w=400&q=80,https://map.naver.com/v5/search/%ED%94%84%EB%A6%B3%EC%B8%A0%20%EC%84%B1%EC%88%98%EC%A0%90%20%EC%84%B1%EB%8F%99%EA%B5%AC
블루보틀커피 성수점,카페,서울특별시 성동구 아차산로 7,성수동1가,성동구,37.54601,127.04416,4.4,"뉴올리언스, 콜드브루, 라떼",08:00-21:00,02-6212-6998,https://images.unsplash.com/photo-1509042239860-f550ce710b93?w=400&q=80,https://map.naver.com/v5/search/%EB%B8%94%EB%A3%A8%EB%B3%B4%ED%8B%80%EC%BB%A4%ED%94%BC%20%EC%84%B1%EC%88%98%EC%A0%90%20%EC%84%B1%EB%8F%99%EA%B5%AC
5to7 성수,카페/디저트,서울특별시 성동구 서울숲2길 44-13,성수동,성동구,37.54543,127.04431,4.5,"딸기수플레, 말차라떼, 슈페너",11:00-21:00,,https://images.unsplash.com/photo-1519915028121-7d3463d20b13?w=400&q=80,https://map.naver.com/v5/search/5to7%20%EC%84%B1%EC%88%98%20%EC%84%B1%EB%8F%99%EA%B5%AC
아꼬떼뒤파르크,베이커리,서울특별시 성동구 성덕정길 92,성수동,성동구,37.54477,127.04421,4.5,"씨장바게트, 블루베리잠봉, 크루아상",09:00-19:00,,https://images.unsplash.com/photo-1608198093002-ad4e005484ec?w=400&q=80,https://map.naver.com/v5/search/%EC%95%84%EA%BC%AC%EB%96%BC%EB%92%A4%ED%8C%8C%EB%A5%B4%ED%81%AC%20%EC%84%B1%EB%8F%99%EA%B5%AC
베통 성수 플래그십,베이커리,서울특별시 성동구 연무장5가길 7,성수동,성동구,37.54437,127.05601,4.7,"퀸아망, 크루아상, 까눌레",09:00-21:00,,https://images.unsplash.com/photo-1517433367423-c7e5b0f35086?w=400&q=80,https://map.naver.com/v5/search/%EB%B2%A0%ED%86%B5%20%EC%84%B1%EC%88%98%20%ED%94%8C%EB%9E%98%EA%B7%B8%EC%8B%AD%20%EC%84%B1%EB%8F%99%EA%B5%AC
누데이크 성수,카페/디저트,서울특별시 성동구 왕십리로14길 17,성수동,성동구,37.54541,127.04428,4.7,"피크 말차 라바케이크, 케이크",08:30-18:00,,https://images.unsplash.com/photo-1464349095431-e9a21285b5f3?w=400&q=80,https://map.naver.com/v5/search/%EB%88%84%EB%8D%B0%EC%9D%B4%ED%81%AC%20%EC%84%B1%EC%88%98%20%EC%84%B1%EB%8F%99%EA%B5%AC
어나더사이드 성수,카페/베이커리,서울특별시 성동구 아차산로9길 8,성수동,성동구,37.5448,127.05578,4.5,"크루아상, 스콘, 라떼",09:00-21:00,,https://images.unsplash.com/photo-1558303648-4b711e5f8e72?w=400&q=80,https://map.naver.com/v5/search/%EC%96%B4%EB%82%98%EB%8D%94%EC%82%AC%EC%9D%B4%EB%93%9C%20%EC%84%B1%EC%88%98%20%EC%84%B1%EB%8F%99%EA%B5%AC
소하염전,베이커리,서울특별시 성동구 서울숲2길 32-14,성수동,성동구,37.54513,127.04442,4.5,"소금빵, 크루아상, 버터롤",08:00-20:00,,https://images.unsplash.com/photo-1555507036-ab1f4038808a?w=400&q=80,https://map.naver.com/v5/search/%EC%86%8C%ED%95%98%EC%97%BC%EC%A0%84%20%EC%84%B1%EB%8F%99%EA%B5%AC
런던베이글뮤지엄 성수점,베이커리,서울특별시 성동구 연무장5나길 5,성수동,성동구,37.54425,127.05562,4.6,"플레인베이글, 크림치즈베이글, 스모크연어",08:00-21:00,,https://images.unsplash.com/photo-1509440159596-0249088772ff?w=400&q=80,https://map.naver.com/v5/search/%EB%9F%B0%EB%8D%98%EB%B2%A0%EC%9D%B4%EA%B8%80%EB%AE%A4%EC%A7%80%EC%97%84%20%EC%84%B1%EC%88%98%EC%A0%90%20%EC%84%B1%EB%8F%99%EA%B5%AC
밀도 성수,베이커리,서울특별시 성동구 서울숲2길 32-14,성수동,성동구,37.54519,127.04448,4.6,"식빵, 크루아상, 소금버터롤",08:00-20:00,,https://images.unsplash.com/photo-1549931319-a545dcf3bc7c?w=400&q=80,https://map.naver.com/v5/search/%EB%B0%80%EB%8F%84%20%EC%84%B1%EC%88%98%20%EC%84%B1%EB%8F%99%EA%B5%AC
트리플베이글 성수,베이커리,서울특별시 성동구 왕십리로2길 21,성수동,성동구,37.54712,127.04253,4.4,"플레인베이글, 에브리씽베이글, 크림치즈",09:00-21:00,,https://images.unsplash.com/photo-1619096252214-ef06c45683e3?w=400&q=80,https://map.naver.com/v5/search/%ED%8A%B8%EB%A6%AC%ED%94%8C%EB%B2%A0%EC%9D%B4%EA%B8%80%20%EC%84%B1%EC%88%98%20%EC%84%B1%EB%8F%99%EA%B5%AC
