name,category,address,neighborhood,gu,latitude,longitude,rating,signature_menu,hours,phone,instagram,img,naver_url
어니언 성수,카페/베이커리,서울특별시 성동구 아차산로9길 8,성수동,성동구,37.5447,127.0558,4.5,"팡도르, 소금빵, 아메리카노",08:00-22:00,02-1234-5001,https://instagram.com/onion.seoul,https://images.unsplash.com/photo-1555507036-ab1f4038808a?w=400&q=80,https://map.naver.com/v5/search/%EC%96%B4%EB%8B%88%EC%96%B8%20%EC%84%B1%EC%88%98%20%EC%84%B1%EB%8F%99%EA%B5%AC
베통 성수 플래그십,베이커리,서울특별시 성동구 연무장5가길 7,성수동,성동구,37.5444,127.056,4.7,"퀸아망, 크루아상, 레몬머랭타르트",09:00-21:00,02-1234-5002,https://instagram.com/beton.bakery,https://images.unsplash.com/photo-1608198093002-ad4e005484ec?w=400&q=80,https://map.naver.com/v5/search/%EB%B2%A0%ED%86%B5%20%EC%84%B1%EC%88%98%20%ED%94%8C%EB%9E%98%EA%B7%B8%EC%8B%AD%20%EC%84%B1%EB%8F%99%EA%B5%AC
밀도 성수,베이커리,서울특별시 성동구 서울숲2길 32-14,성수동,성동구,37.5451,127.0444,4.6,"식빵, 크루아상, 소금버터롤",08:00-20:00,02-1234-5003,https://instagram.com/milddo,https://images.unsplash.com/photo-1509440159596-0249088772ff?w=400&q=80,https://map.naver.com/v5/search/%EB%B0%80%EB%8F%84%20%EC%84%B1%EC%88%98%20%EC%84%B1%EB%8F%99%EA%B5%AC
프릳츠 성수,카페/베이커리,서울특별시 성동구 서울숲길 43,성수동,성동구,37.5449,127.0443,4.6,"핸드드립커피, 크루아상, 브레드",07:00-21:00,02-464-7078,https://instagram.com/fritz_coffee,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=400&q=80,https://map.naver.com/v5/search/%ED%94%84%EB%A6%B3%EC%B8%A0%20%EC%84%B1%EC%88%98%20%EC%84%B1%EB%8F%99%EA%B5%AC
블루보틀 성수,카페,서울특별시 성동구 왕십리로2길 21,성수동,성동구,37.5471,127.0425,4.4,"콜드브루, 라떼, 마들렌",08:00-21:00,02-1234-5005,https://bluebottlecoffee.com,https://images.unsplash.com/photo-1461023058943-07fcbe16d735?w=400&q=80,https://map.naver.com/v5/search/%EB%B8%94%EB%A3%A8%EB%B3%B4%ED%8B%80%20%EC%84%B1%EC%88%98%20%EC%84%B1%EB%8F%99%EA%B5%AC
코끼리베이글 성수,베이커리,서울특별시 성동구 연무장5가길 14,성수동,성동구,37.5445,127.0563,4.5,"플레인베이글, 크림치즈베이글, 잡곡베이글",09:00-20:00,02-1234-5006,https://instagram.com/elephant_bagel,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400&q=80,https://map.naver.com/v5/search/%EC%BD%94%EB%81%BC%EB%A6%AC%EB%B2%A0%EC%9D%B4%EA%B8%80%20%EC%84%B1%EC%88%98%20%EC%84%B1%EB%8F%99%EA%B5%AC
소하염전,카페/베이커리,서울특별시 성동구 서울숲길 17,성수동,성동구,37.545,127.0447,4.4,"소금빵, 크루아상, 아메리카노",09:00-21:00,02-1234-5007,https://instagram.com/soha_salt,https://images.unsplash.com/photo-1517433367423-c7e5b0f35086?w=400&q=80,https://map.naver.com/v5/search/%EC%86%8C%ED%95%98%EC%97%BC%EC%A0%84%20%EC%84%B1%EB%8F%99%EA%B5%AC
멜로워 성수 더 플래그쉽,카페/베이커리,서울특별시 성동구 서울숲길 51,성수동,성동구,37.5452,127.0441,4.5,"퀸아망, 생초코멜로디, 아메리카노",09:00-21:00,02-1234-5008,https://instagram.com/mellower_coffee,https://images.unsplash.com/photo-1571115177098-24ec42ed204d?w=400&q=80,https://map.naver.com/v5/search/%EB%A9%9C%EB%A1%9C%EC%9B%8C%20%EC%84%B1%EC%88%98%20%EB%8D%94%20%ED%94%8C%EB%9E%98%EA%B7%B8%EC%89%BD%20%EC%84%B1%EB%8F%99%EA%B5%AC
누누베이크 성수,베이커리,서울특별시 성동구 연무장5나길 5,성수동,성동구,37.5443,127.0566,4.3,"타르트, 마카롱, 케이크",11:00-20:00,02-1234-5009,,https://images.unsplash.com/photo-1488477181946-6428a0291777?w=400&q=80,https://map.naver.com/v5/search/%EB%88%84%EB%88%84%EB%B2%A0%EC%9D%B4%ED%81%AC%20%EC%84%B1%EC%88%98%20%EC%84%B1%EB%8F%99%EA%B5%AC
아꼬떼뒤파르크,베이커리,서울특별시 성동구 서울숲2길 44-13,성수동,성동구,37.5453,127.0442,4.4,"바게트, 크루아상, 에클레어",09:00-19:00,02-1234-5010,,https://images.unsplash.com/photo-1549931319-a545dcf3bc7c?w=400&q=80,https://map.naver.com/v5/search/%EC%95%84%EA%BC%AC%EB%96%BC%EB%92%A4%ED%8C%8C%EB%A5%B4%ED%81%AC%20%EC%84%B1%EB%8F%99%EA%B5%AC
카페 레이어드 연남,카페/베이커리,서울특별시 마포구 연남로1길 36,연남동,마포구,37.561,126.9249,4.6,"스콘, 케이크, 얼그레이라떼",11:00-22:00,02-323-8532,https://instagram.com/layered_seoul,https://images.unsplash.com/photo-1499636136210-6f4ee915583e?w=400&q=80,https://map.naver.com/v5/search/%EC%B9%B4%ED%8E%98%20%EB%A0%88%EC%9D%B4%EC%96%B4%EB%93%9C%20%EC%97%B0%EB%82%A8%20%EB%A7%88%ED%8F%AC%EA%B5%AC
커피몽타주 망원,카페,서울특별시 마포구 포은로6길 11,망원동,마포구,37.5571,126.9044,4.7,"핸드드립커피, 에스프레소, 구움과자",11:00-21:00,02-1234-5012,https://instagram.com/coffeemontage,https://images.unsplash.com/photo-1442512595331-e89e73853f31?w=400&q=80,https://map.naver.com/v5/search/%EC%BB%A4%ED%94%BC%EB%AA%BD%ED%83%80%EC%A3%BC%20%EB%A7%9D%EC%9B%90%20%EB%A7%88%ED%8F%AC%EA%B5%AC
카시코이 연희,카페/디저트,서울특별시 마포구 연희로11나길 7,연희동,마포구,37.5708,126.9283,4.5,"화과자, 말차라떼, 계절디저트",11:00-21:00,0507-1356-3390,https://instagram.com/kashikoi_seoul,https://images.unsplash.com/photo-1563805042-7684c019e1cb?w=400&q=80,https://map.naver.com/v5/search/%EC%B9%B4%EC%8B%9C%EC%BD%94%EC%9D%B4%20%EC%97%B0%ED%9D%AC%20%EB%A7%88%ED%8F%AC%EA%B5%AC
리치몬드과자점 성산,베이커리,서울특별시 마포구 성미산로 114,성산동,마포구,37.5627,126.9288,4.5,"생크림케이크, 롤케이크, 마카롱",09:00-21:00,02-1234-5014,,https://images.unsplash.com/photo-1578985545062-69928b1d9587?w=400&q=80,https://map.naver.com/v5/search/%EB%A6%AC%EC%B9%98%EB%AA%AC%EB%93%9C%EA%B3%BC%EC%9E%90%EC%A0%90%20%EC%84%B1%EC%82%B0%20%EB%A7%88%ED%8F%AC%EA%B5%AC
